title,views,url,id,dateCreated
What is a 'Draft' submittal?,4914,https://support.procore.com/faq/what-is-a-draft-submittal,32021,"Thu, 05 Apr 2018 21:27:28 GMT"
What are the blue icons in my drawings log?,4830,https://support.procore.com/faq/what-are-the-blue-icons-in-my-drawings-log,8858,"Tue, 28 Jun 2016 21:19:56 GMT"
How do I control which emails are sent by Procore during the RFI process?,4797,https://support.procore.com/faq/how-do-i-control-which-emails-are-sent-by-procore-during-the-rfi-process,1985,"Mon, 09 Mar 2015 23:38:10 GMT"
How do I build a Training Center?,4796,https://support.procore.com/faq/how-do-i-build-a-training-center,9246,"Wed, 13 Jul 2016 00:14:24 GMT"
What is App Management?,4739,https://support.procore.com/faq/what-is-app-management,58390,"Thu, 19 Sep 2019 15:57:28 GMT"
What is the accounting approver role?,4687,https://support.procore.com/faq/what-is-the-accounting-approver-role,9652,"Thu, 04 Aug 2016 21:34:54 GMT"
How does the Office 365 integration in Procore's Documents Tool work?,4684,https://support.procore.com/faq/how-does-the-office-365-integration-in-procores-documents-tool-work,68176,"Thu, 23 Jan 2020 17:56:15 GMT"
What is a change order?,4572,https://support.procore.com/faq/what-is-a-change-order,1861,"Thu, 05 Mar 2015 00:50:14 GMT"
Who receives notification emails when a vendor's insurance expires?,4564,https://support.procore.com/faq/who-receives-notification-emails-when-a-vendors-insurance-expires,57960,"Fri, 13 Sep 2019 20:58:13 GMT"
What is the Procore plugin and what is it used for?,4521,https://support.procore.com/faq/what-is-the-procore-plugin-and-what-is-it-used-for,49062,"Tue, 02 Apr 2019 16:59:09 GMT"
"Where can I find the email address to send daily logs, photos, documents, and emails to Procore?",4504,https://support.procore.com/faq/where-can-i-find-the-email-address-to-send-photos-documents-and-emails-to-procore,1537,"Tue, 24 Feb 2015 00:45:16 GMT"
How does Procore automatically complete amounts on an upstream invoice?,4477,https://support.procore.com/faq/how-does-procore-automatically-fill-in-amounts-on-an-upstream-invoice,49855,"Thu, 18 Apr 2019 21:20:36 GMT"
What is a system tray?,4453,https://support.procore.com/faq/what-is-a-system-tray,20219,"Mon, 19 Jun 2017 21:55:53 GMT"
How can I see where my non-budgeted line items are coming from?,4414,https://support.procore.com/faq/how-can-i-see-where-my-non-budgeted-line-items-are-coming-from,29841,"Fri, 23 Feb 2018 00:54:26 GMT"
Which weather providers are supported by Procore?,4348,https://support.procore.com/faq/which-weather-providers-are-supported-by-procore,23387,"Mon, 21 Aug 2017 23:42:15 GMT"
Are there any system limitations when projects have multiple prime contracts?,4334,https://support.procore.com/faq/are-there-any-system-limitations-when-creating-multiple-prime-contracts,39829,"Mon, 08 Oct 2018 22:41:38 GMT"
What are the default observation types used for?,4332,https://support.procore.com/faq/what-are-the-default-observation-types-used-for,5628,"Wed, 10 Feb 2016 22:50:33 GMT"
"What are ""related items"" in Procore?",4309,https://support.procore.com/faq/what-are-related-items-in-procore,3318,"Tue, 16 Jun 2015 21:06:45 GMT"
How do I find the project ID?,4252,https://support.procore.com/faq/how-do-i-find-the-project-id,4109,"Tue, 25 Aug 2015 22:43:48 GMT"
What is a specification set?,4171,https://support.procore.com/faq/what-is-a-specification-set,4481,"Mon, 12 Oct 2015 18:24:28 GMT"
Does an invoice contact need an 'Invite to Bill' to submit an invoice?,4159,https://support.procore.com/faq/does-an-invoice-contact-need-an-invite-to-bill-to-submit-an-invoice,13068,"Tue, 03 Jan 2017 18:36:17 GMT"
What is a Drawing Set?,4128,https://support.procore.com/faq/what-is-a-drawing-set,993,"Tue, 03 Feb 2015 18:21:38 GMT"
Why is the Financial Health section of the Health Dashboard not configured?,4087,https://support.procore.com/faq/why-is-my-financial-health-section-of-the-health-dashboard-not-configured,43235,"Thu, 06 Dec 2018 22:49:46 GMT"
Which web browsers are supported by Procore?,4013,https://support.procore.com/faq/which-web-browsers-are-supported-by-procore,1956,"Mon, 09 Mar 2015 19:19:11 GMT"
What is the Budget Forecast Report?,3996,https://support.procore.com/faq/how-does-the-budget-forecast-report,1874,"Thu, 05 Mar 2015 19:06:36 GMT"
Why am I unable to log in to the Procore Certification site?,3929,https://support.procore.com/faq/why-am-i-unable-to-log-in-to-the-procore-certification-site,11734,"Mon, 07 Nov 2016 23:44:53 GMT"
Why are some files missing after downloading from Procore Sync?,3886,https://support.procore.com/faq/why-are-some-files-missing-after-downloading-from-procore-sync,29612,"Fri, 16 Feb 2018 22:09:27 GMT"
How do I enable the DocuSign® Integration?,3862,https://support.procore.com/faq/how-do-i-enable-the-docusign-integration,17823,"Thu, 11 May 2017 21:24:10 GMT"
"Can I change the language of my Company, Project, or User in Procore?",3719,https://support.procore.com/faq/can-i-change-the-language-of-my-company-project-or-user-in-procore,37221,"Fri, 10 Aug 2018 17:20:25 GMT"
How do I preserve cost code formatting in Excel?,3670,https://support.procore.com/faq/how-do-i-preserve-cost-code-formatting-in-excel,5813,"Wed, 24 Feb 2016 18:02:53 GMT"
How can I use Procore's Toolbox Talk Sign-In PDF in my project's Forms tool?,3641,https://support.procore.com/faq/how-can-i-use-procores-toolbox-talk-sign-in-pdf-in-my-projects-forms-tool,82002,"Wed, 13 May 2020 19:43:22 GMT"
Which fields can Procore automatically populate when uploading drawings?,3593,https://support.procore.com/faq/which-fields-can-procore-automatically-populate-when-uploading-drawings,997,"Tue, 03 Feb 2015 18:42:09 GMT"
What is a Service Account?,3551,https://support.procore.com/faq/what-is-a-service-account,108727,"Tue, 17 Nov 2020 00:13:51 GMT"
Is there a minimum passing score for Procore Certification quizzes?,3519,https://support.procore.com/faq/is-there-a-minimum-passing-score-for-procore-certification-quizzes,11304,"Tue, 25 Oct 2016 20:58:02 GMT"
Who can be designated as an 'Assignee' on an RFI?,3512,https://support.procore.com/faq/who-can-be-designated-as-an-assignee-on-an-rfi,32435,"Fri, 13 Apr 2018 21:54:03 GMT"
What is an invoice contact?,3474,https://support.procore.com/faq/what-is-an-invoice-contact,89635,"Wed, 08 Jul 2020 22:25:12 GMT"
Can I include signature fields in my fillable PDFs?,3473,https://support.procore.com/faq/can-i-include-signature-fields-in-my-fillable-pdfs,27115,"Fri, 08 Dec 2017 23:23:00 GMT"
How do I download Procore's Android mobile application?,3427,https://support.procore.com/faq/how-do-i-download-the-procore-android-mobile-application,4193,"Fri, 18 Sep 2015 16:54:13 GMT"
"Which fields in the Daily Log tool can be configured as required, optional, or hidden?",3402,https://support.procore.com/faq/which-fields-in-the-daily-log-tool-can-be-configured-as-required-optional-or-hidden,50927,"Tue, 14 May 2019 21:24:43 GMT"
How do I set up Single Sign-On (SSO) with Procore?,3365,https://support.procore.com/faq/how-do-i-set-up-single-sign-on-sso-with-procore,11317,"Wed, 26 Oct 2016 18:12:10 GMT"
Do I need a DocuSign© account?,3351,https://support.procore.com/faq/do-i-need-a-docusign-account,17821,"Thu, 11 May 2017 21:10:04 GMT"
What are role-based permissions?,3262,https://support.procore.com/faq/what-are-role-based-permissions,14900,"Fri, 10 Feb 2017 21:09:52 GMT"
Will Procore convert my non-fillable PDF to a fillable PDF?,3252,https://support.procore.com/faq/will-procore-convert-my-non-fillable-pdf-to-a-fillable-pdf,24101,"Thu, 14 Sep 2017 17:17:31 GMT"
Who gets notifications from observations?,3247,https://support.procore.com/faq/who-gets-notifications-from-observations,10019,"Tue, 23 Aug 2016 21:27:48 GMT"
Can I enable the Change Events tool on my existing project?,3245,https://support.procore.com/faq/can-i-enable-the-change-events-tool-on-my-project,5681,"Sat, 13 Feb 2016 01:06:44 GMT"
How do I request access to a custom Training Center?,3241,https://support.procore.com/faq/how-do-i-request-access-to-a-custom-training-center,5702,"Thu, 18 Feb 2016 19:38:50 GMT"
How do I create a billing period for an invoice?,3235,https://support.procore.com/faq/how-do-i-create-a-billing-period-for-an-invoice,91403,"Mon, 27 Jul 2020 20:26:15 GMT"
How do I change a known password?,3226,https://support.procore.com/faq/how-do-i-change-a-known-password,5018,"Mon, 21 Dec 2015 15:40:43 GMT"
What are App Configurations and how do I work with them?,3214,https://support.procore.com/faq/what-are-app-configurations,57851,"Thu, 12 Sep 2019 22:13:46 GMT"
How do I create an allowance and/or contingency report?,3193,https://support.procore.com/faq/how-do-i-create-an-allowance-and-contingency-report,21195,"Thu, 29 Jun 2017 21:48:32 GMT"
What is the difference between horizontal and vertical financial markup?,3180,https://support.procore.com/faq/what-is-the-difference-between-horizontal-and-vertical-markup,70728,"Fri, 14 Feb 2020 18:15:01 GMT"
What is Procore's data backup strategy?,3132,https://support.procore.com/faq/what-is-procores-data-backup-strategy,2299,"Fri, 03 Apr 2015 19:51:05 GMT"
What is the difference between a submitter and approver in submittals?,3097,https://support.procore.com/faq/what-is-the-difference-between-a-submitter-and-approver-in-submittals,8142,"Wed, 08 Jun 2016 21:58:46 GMT"
How do I use the notification center?,3028,https://support.procore.com/faq/how-do-i-use-the-notification-center,1911,"Fri, 06 Mar 2015 19:48:32 GMT"
What are the default submittal statuses in Procore?,3008,https://support.procore.com/faq/what-are-the-default-submittal-statuses-in-procore,23452,"Wed, 23 Aug 2017 17:34:34 GMT"
"Is there a way to bulk replace an approver, submitter, or reviewer on a project's submittals?",3005,https://support.procore.com/faq/is-there-a-way-to-bulk-replace-an-approver-submitter-or-reviewer-on-a-projects-submittals,34618,"Mon, 04 Jun 2018 20:41:17 GMT"
"Tried to log in, but received an error message",2991,https://support.procore.com/faq/trouble-logging-in-to-procore/tried-to-log-in-but-received-an-error-message,39951,"Thu, 11 Oct 2018 20:56:52 GMT"
How do I get a DocuSign® account?,2964,https://support.procore.com/faq/how-do-i-get-a-docusign-account,17825,"Thu, 11 May 2017 21:37:34 GMT"
What's the difference between a project and a program?,2957,https://support.procore.com/faq/whats-the-difference-between-a-project-and-a-program,15257,"Wed, 01 Mar 2017 18:30:20 GMT"
