title,views,url,id,dateCreated
Remove a Project from a Program,412,https://support.procore.com/products/online/user-guide/company-level/programs/tutorials/remove-a-project-from-a-program,4257,"Fri, 25 Sep 2015 21:05:25 GMT"
Add Deliveries Log Entries (Android),412,https://support.procore.com/procore-mobile-android/user-guide/daily-log-android/tutorials/add-delivery-log-entries-android,10744,"Tue, 13 Sep 2016 18:30:11 GMT"
View the Change History of a Timecard,412,https://support.procore.com/products/online/user-guide/company-level/timecard/tutorials/view-the-change-history-of-a-timecard,44324,"Mon, 07 Jan 2019 22:53:07 GMT"
Search for and Sort Models,411,https://support.procore.com/products/online/user-guide/project-level/models/tutorials/search-for-and-sort-models,47951,"Fri, 08 Mar 2019 22:07:38 GMT"
Create and Send a Correspondence Item from Gmail,410,https://support.procore.com/integrations/gmail-addon/tutorials/create-and-send-a-correspondence-item-from-gmail,109545,"Mon, 23 Nov 2020 20:44:11 GMT"
Rename an Album in Procore Drive,410,https://support.procore.com/products/procore-drive/user-guide/photos/tutorials/rename-an-album-in-procore-drive,1492,"Fri, 20 Feb 2015 23:23:36 GMT"
Edit Project Level Observation Types,409,https://support.procore.com/products/online/user-guide/project-level/observations/tutorials/edit-project-level-observation-types,39399,"Fri, 28 Sep 2018 18:28:52 GMT"
Export a Submittal Package,409,https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/export-a-submittal-package,128307,"Mon, 10 May 2021 19:50:18 GMT"
Add or Manage Schedule of Values for a Budget in Portfolio Financials,409,https://support.procore.com/products/portfolio-financials/user-guide/cost-tracker/tutorials/add-or-manage-schedule-of-values-for-a-budget-in-portfolio-financials,91187,"Fri, 24 Jul 2020 19:31:53 GMT"
Add a Contract to a Cost Item in Portfolio Financials,408,https://support.procore.com/products/portfolio-financials/user-guide/cost-tracker/tutorials/add-a-contract-to-a-cost-item-in-portfolio-financials,101283,"Fri, 02 Oct 2020 00:16:05 GMT"
Export a T&M Ticket as a PDF,408,https://support.procore.com/products/online/user-guide/project-level/tm-tickets/tutorials/export-a-tm-ticket-as-a-pdf,78054,"Tue, 14 Apr 2020 17:23:54 GMT"
