"title","views","url","id","dateCreated","lastThirty"
"Add a Comment to a Photo (iOS)","4331","https://support.procore.com/procore-mobile-ios/user-guide/photos-ios/tutorials/add-a-comment-to-a-photo-ios","32673","Fri, 20 Apr 2018 18:02:01 GMT",39
"Create a Custom Budget Report","4312","https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/create-a-custom-budget-report","1921","Sat, 07 Mar 2015 00:28:54 GMT",59
"Delete a Submittal","4312","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/delete-a-submittal","2137","Tue, 17 Mar 2015 23:53:30 GMT",86
"Review Schedule Change Requests","4292","https://support.procore.com/products/online/user-guide/project-level/schedule/tutorials/review-schedule-changes-requests","5891","Mon, 29 Feb 2016 19:34:16 GMT",76
"Respond to an RFQ on Behalf of a Collaborator","4290","https://support.procore.com/products/online/user-guide/project-level/change-events/tutorials/respond-to-an-rfq-on-behalf-of-a-collaborator","22921","Tue, 08 Aug 2017 18:41:13 GMT",101
"Edit a Punch List Item","4289","https://support.procore.com/products/online/user-guide/project-level/punch-list/tutorials/edit-a-punch-list-item","1217","Thu, 12 Feb 2015 18:54:37 GMT",107
"Set User Permissions for the Portfolio Tool","4288","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/set-user-permissions-for-the-portfolio-tool","25377","Thu, 19 Oct 2017 20:03:07 GMT",93
"Delete a Daily Log (iOS)","4286","https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/delete-a-daily-log-ios","4374","Fri, 02 Oct 2015 00:54:18 GMT",124
"Create Delay Entries","4282","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/create-delay-entries","45811","Tue, 29 Jan 2019 17:35:25 GMT",113
"Complete a Commitment Change Order with DocuSign®","4273","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/complete-a-commitment-change-order-cco-with-docusign","15864","Thu, 23 Mar 2017 22:35:39 GMT",71
"Approve an Action Plan to be Performed","4254","https://support.procore.com/products/online/user-guide/project-level/action-plans/tutorials/approve-an-action-plan-to-be-performed","76212","Thu, 02 Apr 2020 22:25:13 GMT",286
"Add 'Sub Job' Segment Items to a Procore Project","4253","https://support.procore.com/products/online/user-guide/project-level/admin/tutorials/add-sub-job-segment-items-to-a-procore-project","130411","Wed, 02 Jun 2021 16:06:00 GMT",560
"View Company Reports","4241","https://support.procore.com/products/online/user-guide/company-level/reports/tutorials/view-company-reports","2698","Wed, 13 May 2015 18:09:49 GMT",104
"Create an Observation from an Inspection","4240","https://support.procore.com/products/online/user-guide/project-level/inspections/tutorials/create-an-observation-from-an-inspection","5693","Tue, 16 Feb 2016 23:52:39 GMT",70
"Add a Comment to a Meeting Item","4239","https://support.procore.com/products/online/user-guide/project-level/meetings/tutorials/add-a-comment-to-a-meeting-item","3343","Wed, 17 Jun 2015 21:56:08 GMT",67
"Configure IdP-Initiated SSO for OneLogin","4224","https://support.procore.com/integrations/onelogin-sso/tutorials/configure-idp-initiated-sso-for-onelogin","19871","Tue, 13 Jun 2017 22:13:24 GMT",59
"Configure SP-Initiated SSO for Procore in Okta","4222","https://support.procore.com/integrations/okta-sso/tutorials/configure-sp-initiated-sso-for-procore-in-okta","16103","Tue, 04 Apr 2017 20:10:14 GMT",153
"Export a Project Schedule","4217","https://support.procore.com/products/online/user-guide/project-level/schedule/tutorials/export-a-project-schedule","43963","Fri, 28 Dec 2018 00:38:05 GMT",97
"Delete a Project in Portfolio Financials","4216","https://support.procore.com/products/portfolio-financials/user-guide/dashboard/tutorials/delete-a-project-in-portfolio-financials","92902","Wed, 12 Aug 2020 18:22:37 GMT",188
"Bulk Edit Photos","4215","https://support.procore.com/products/online/user-guide/project-level/photos/tutorials/bulk-edit-photos","1785","Wed, 04 Mar 2015 00:45:48 GMT",116
"Edit a Project Level Form","4187","https://support.procore.com/products/online/user-guide/project-level/forms/tutorials/edit-a-project-level-form","24462","Fri, 22 Sep 2017 22:40:55 GMT",67
"Perform an Action Plan","4184","https://support.procore.com/products/online/user-guide/project-level/action-plans/tutorials/perform-an-action-plan","75888","Tue, 31 Mar 2020 21:53:04 GMT",188
"Create Action Plan Types","4178","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/create-action-plan-types","75887","Tue, 31 Mar 2020 21:48:14 GMT",129
"Distribute a Snapshot of a Custom Company Report","4165","https://support.procore.com/products/online/user-guide/company-level/reports/tutorials/distribute-a-snapshot-of-a-custom-company-report","5676","Fri, 12 Feb 2016 23:28:01 GMT",139
"Accept or Decline an 'Invite to Bill' as an Invoice Contact","4162","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/accept-or-decline-an-invite-to-bill-as-an-invoice-contact","101828","Tue, 06 Oct 2020 17:56:28 GMT",207
"Allow or Disallow Users to Create Locations within a Tool","4160","https://support.procore.com/products/online/user-guide/project-level/admin/tutorials/allow-or-disallow-users-to-create-locations-within-a-tool","4505","Wed, 14 Oct 2015 22:20:49 GMT",110
"View Project Summary Report","4140","https://support.procore.com/products/online/user-guide/project-level/reports/tutorials/view-project-summary-report","6246","Wed, 09 Mar 2016 18:49:01 GMT",55
"Create Productivity Entries","4138","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/create-productivity-entries","9400","Wed, 27 Jul 2016 17:33:25 GMT",69
"Upload Photos to the Daily Log","4136","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/upload-photos-to-the-daily-log","41370","Fri, 09 Nov 2018 18:27:57 GMT",117
"Review Submitted Bids","4135","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/review-submitted-bids","2918","Fri, 22 May 2015 21:16:39 GMT",71
"Update the Percent Complete for a Schedule Task (iOS)","4134","https://support.procore.com/procore-mobile-ios/user-guide/schedule-ios/tutorials/update-the-percent-complete-for-a-schedule-task-ios","83747","Thu, 28 May 2020 21:19:34 GMT",164
"Create a Payment Received for a Prime Contract","4114","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/create-a-payment-received-for-a-prime-contract","2208","Wed, 25 Mar 2015 23:32:52 GMT",39
"Sign into Bluebeam from Procore","4109","https://support.procore.com/integrations/bluebeam/tutorials/sign-into-bluebeam-from-procore","15601","Mon, 20 Mar 2017 15:06:06 GMT",82
"Add an Injury/Illness Record to an Incident","4092","https://support.procore.com/products/online/user-guide/project-level/incidents/tutorials/add-an-injury-illness-record-to-an-incident","20813","Thu, 22 Jun 2017 18:31:32 GMT",48
"Search for and Filter Submittals","4091","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/search-for-and-filter-submittals","2885","Thu, 21 May 2015 21:50:07 GMT",80
"Close an Inspection","4082","https://support.procore.com/products/online/user-guide/project-level/inspections/tutorials/close-an-inspection","9421","Thu, 28 Jul 2016 23:22:11 GMT",83
