"title","views","url","id","dateCreated","lastThirty"
"Search for a Meeting (iOS)","215","https://support.procore.com/procore-mobile-ios/user-guide/meetings-ios/tutorials/search-for-a-meeting-ios","8147","Wed, 08 Jun 2016 23:38:23 GMT",2
"Delete Sub Jobs from a Project","215","https://support.procore.com/products/online/user-guide/project-level/admin/tutorials/delete-sub-jobs-from-a-project","130455","Wed, 02 Jun 2021 23:19:12 GMT",33
"View Instructions (iOS)","213","https://support.procore.com/procore-mobile-ios/user-guide/instructions-ios/tutorials/view-instructions-ios","37282","Mon, 13 Aug 2018 17:49:17 GMT",7
"When does the Tasks tool send email notifications?","213","https://support.procore.com/faq/when-does-the-tasks-tool-send-email-notifications","155457","Fri, 18 Mar 2022 17:48:34 GMT",49
"Release Notes","213","https://support.procore.com/products/online/user-guide/company-level/programs/release-notes","4214","Mon, 21 Sep 2015 22:40:08 GMT",8
"Search for Specifications (Android)","213","https://support.procore.com/procore-mobile-android/user-guide/specifications-android/tutorials/search-for-specifications-android","8646","Wed, 22 Jun 2016 18:19:17 GMT",3
"What is the Date Notified field in my Punch List?","213","https://support.procore.com/faq/what-is-the-date-notified-field-in-my-punch-list","13156","Thu, 05 Jan 2017 19:16:02 GMT",1
"Integration by Ryvit: Send a CCO to ERP Integrations for Accounting Acceptance","212","https://support.procore.com/integrations/integration-by-ryvit/tutorials/send-a-cco-to-erp-integrations-for-accounting-acceptance","23556","Fri, 25 Aug 2017 15:31:45 GMT",1
"Reactivate a Batch of Companies in a Project Directory","212","https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/reactivate-a-batch-of-companies-in-a-project-directory","43471","Thu, 13 Dec 2018 22:40:33 GMT",3
"Integration by Ryvit: Delete a Commitment Synced with Viewpoint® Vista™","211","https://support.procore.com/integrations/integration-by-ryvit/tutorials/delete-a-commitment-synced-with-the-viewpoint-vista-integration-by-ryvit","23529","Fri, 25 Aug 2017 15:31:45 GMT",4
"Can I make timecard entries at the Project level?","211","https://support.procore.com/faq/can-i-make-timecard-entries-at-the-project-level","1892","Fri, 06 Mar 2015 00:02:20 GMT",4
"FAQ","211","https://support.procore.com/continuing-education/faq","8514","Mon, 20 Jun 2016 20:49:03 GMT",8
"How many Quickbooks company files does Procore support?","211","https://support.procore.com/integrations/quickbooks/faq/how-many-quickbooks-company-files-does-procore-support","11797","Thu, 10 Nov 2016 23:21:42 GMT",2
"Crear entradas al reporte diario de construcción","211","https://support.procore.com/es/tutoriales/crear-entradas-al-reporte-diario-de-construccion","49389","Mon, 08 Apr 2019 17:19:42 GMT",0
"Send Tasks (iOS)","211","https://support.procore.com/procore-mobile-ios/user-guide/tasks-ios/tutorials/send-tasks-ios","63619","Mon, 25 Nov 2019 21:20:01 GMT",7
"Delete Custom Segments","211","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/delete-custom-segments","124737","Tue, 06 Apr 2021 23:08:00 GMT",6
"Export a Procore Budget to Yardi Voyager®","211","https://support.procore.com/integrations/yardi-project-financials/tutorials/export-a-procore-budget-to-yardi","128253","Fri, 07 May 2021 23:27:20 GMT",12
"Record Changes to Production Quantities on a Potential Change Order for a Prime Contract","211","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/record-changes-to-production-quantities-on-a-potential-change-order-for-a-prime-contract","90309","Wed, 15 Jul 2020 17:22:03 GMT",7
"Permissions","211","https://support.procore.com/procore-mobile-ios/user-guide/tasks-ios/permissions","44848","Tue, 15 Jan 2019 17:23:35 GMT",4
"Crear un incidente","210","https://support.procore.com/es/tutoriales/crear-un-incidente","40779","Wed, 31 Oct 2018 15:42:20 GMT",0
"Inspection Compliance","210","https://support.procore.com/integrations/procore-analytics/reports/quality-and-safety-report/inspection-compliance","122765","Thu, 18 Mar 2021 13:05:42 GMT",9
"Permissions","210","https://support.procore.com/products/procore-drive/user-guide/photos/permissions","1384","Thu, 19 Feb 2015 19:18:46 GMT",6
"Resend a Rejected Company to ERP Integrations for Accounting Acceptance","210","https://support.procore.com/integrations/quickbooks/tutorials/resend-a-rejected-company-to-erp-integrations-for-accounting-acceptance","14329","Tue, 31 Jan 2017 23:43:03 GMT",2
"Glossary","210","https://support.procore.com/products/online/user-guide/project-level/submittals/glossary","14576","Mon, 06 Feb 2017 17:57:34 GMT",0
"Preview a Bid Form (Beta)","210","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/preview-a-bid-form","155472","Sat, 19 Mar 2022 00:38:36 GMT",34
"Integration by Ryvit: Send a Commitment to ERP Integrations for Accounting Acceptance","210","https://support.procore.com/integrations/integration-by-ryvit/tutorials/send-a-commitment-to-erp-integrations-for-accounting-acceptance","23557","Fri, 25 Aug 2017 15:31:45 GMT",4
"Miscellaneous Integrations","210","https://support.procore.com/integrations/category-other","29962","Tue, 27 Feb 2018 20:14:28 GMT",9
"Mark an RFI Response as Official (Android)","210","https://support.procore.com/procore-mobile-android/user-guide/rfis-android/tutorials/mark-an-rfi-response-as-official-android","48564","Sat, 23 Mar 2019 00:48:54 GMT",7
"Workforce Management","210","https://support.procore.com/products/online/procore-consulting-services/workforce-management","91096","Thu, 23 Jul 2020 22:55:15 GMT",9
"Edit a Custom Prequalification Question","210","https://support.procore.com/products/online/user-guide/company-level/prequalifications/tutorials/edit-a-custom-prequalification-question","85579","Wed, 10 Jun 2020 20:04:25 GMT",4
"Filter Prequalification Forms","209","https://support.procore.com/products/online/user-guide/company-level/prequalifications/tutorials/filter-prequalification-forms","68096","Tue, 21 Jan 2020 23:18:35 GMT",2
"Release Notes","209","https://support.procore.com/products/online/user-guide/project-level/transmittals/release-notes","447","Fri, 16 Jan 2015 17:01:28 GMT",0
"Getting Started","209","https://support.procore.com/procore-learning-paths/specialty-contractor/internal-project-manager-engineer/getting-started","5460","Thu, 28 Jan 2016 01:30:40 GMT",2
"Mark a Task Category as Inactive","209","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/mark-a-task-category-as-inactive","34181","Wed, 23 May 2018 23:33:18 GMT",2
"2018","209","https://support.procore.com/products/online/user-guide/project-level/timesheets/release-notes/2018","44070","Wed, 02 Jan 2019 22:49:58 GMT",2
"Remove Duplicate Companies from the Company Directory","209","https://support.procore.com/integrations/acumatica-construction/tutorials/remove-duplicate-companies-from-the-company-directory","133003","Thu, 24 Jun 2021 19:21:16 GMT",10
